Designator,Mid X,Mid Y,Rotation,Layer
J1,-34.100000mm,23.000000mm,-90.000000,bottom
J11,-10.000000mm,0.000000mm,180.000000,bottom
R6,-16.000000mm,-1.000000mm,90.000000,bottom
R7,-4.000000mm,-1.000000mm,-90.000000,bottom
C1,-26.000000mm,-27.000000mm,90.000000,top
C2,-26.000000mm,-22.050000mm,-90.000000,top
C3,-22.000000mm,-22.000000mm,-90.000000,top
C4,3.000000mm,-15.000000mm,-90.000000,top
C5,14.085000mm,-15.000000mm,-90.000000,top
C6,-4.000000mm,15.713950mm,90.000000,top
C7,-10.000000mm,17.000000mm,0.000000,top
D1,-10.000000mm,10.000000mm,180.000000,top
IC1,-8.200000mm,-25.000000mm,0.000000,top
J2,-32.000000mm,-26.000000mm,180.000000,top
J3,6.000000mm,-26.500000mm,180.000000,top
J4,18.000000mm,-26.000000mm,180.000000,top
J5,-40.000000mm,15.250000mm,0.000000,top
J6,-46.000000mm,24.000000mm,180.000000,top
J7,-10.000000mm,31.539800mm,0.000000,top
J8,-4.000000mm,-9.000000mm,180.000000,top
J9,26.000000mm,24.000000mm,180.000000,top
JP1,-22.000000mm,-17.000000mm,0.000000,top
JP2,-5.613600mm,-15.000000mm,90.000000,top
JP3,-2.000000mm,-15.000000mm,90.000000,top
Q1,-34.303333mm,-17.000000mm,0.000000,top
R1,-39.326667mm,-17.000000mm,0.000000,top
R2,-30.000000mm,-17.000000mm,90.000000,top
R3,18.182500mm,-15.000000mm,90.000000,top
R4,-12.000000mm,-15.000000mm,180.000000,top
R5,23.000000mm,-15.000000mm,0.000000,top
R8,-5.000000mm,10.265000mm,90.000000,top
S1,10.000000mm,35.000000mm,180.000000,top
U1,-45.000000mm,-17.000000mm,0.000000,top
U2,-22.000000mm,-27.000000mm,0.000000,top
U3,8.667500mm,-15.075000mm,0.000000,top
