MPN,Qty,Designator,value,manufacturer,Category,SKU,Customer Supply,Customer Remark
,3,"C4,C2,C3",10uF,,,
,3,"C6,C5,C1",0.1uF,,,
,1,C7,EEV107M010S9GAA,,,
,1,D1,WS2812B_5050,,,
,1,IC1,TGS2611-C00,,,
,1,J1,GPIO,,,
,1,J3,679305124022,,,
,5,"J4,J2,J9,J6,J8",Qwiic_Vertical,,,
,1,J5,M20-7830542,,,
,1,J7,5013310607,,,
,1,J11,10132328-10011LF,,,
,3,"JP3,JP1,JP2",~,,,
,1,Q1,BSS138,,,
,2,"R2,R3",10k,,,
,1,R4,PT2512FK-070R1L,,,
,2,"R5,R1",10k,,,
,2,"R7,R6",RC0603FR-075K1L,,,
,1,R8,RC0603FR-07330RL,,,
,1,S1,AB11AH-FC,,,
,1,U1,AP2112K-3.3,,,
,1,U2,BME280,,,
,1,U3,INA219BxDCN,,,
