Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,-26.0,-27.0,90.0,top
C2,10uF,C_0805_2012Metric,-26.0,-22.05,-90.0,top
C3,10uF,C_0805_2012Metric,-22.0,-22.0,-90.0,top
C4,10uF,C_0805_2012Metric,3.0,-15.0,-90.0,top
C5,0.1uF,C_0603_1608Metric,14.085,-15.0,-90.0,top
C6,0.1uF,C_0603_1608Metric,-4.0,15.71395,90.0,top
C7,EEV107M010S9GAA,EEV107M010S9GAA,-10.0,17.0,0.0,top
D1,WS2812B_5050,WS2812_5050-4Pin,-10.0,10.0,180.0,top
IC1,TGS2611-C00,TGS2611C00,-10.0,-23.2,0.0,top
J1,GPIO,PinSocket_2x20_P2.54mm_Vertical,-10.0,24.29,270.0,bottom
J2,Qwiic_Vertical,JST_SMD_1.0mm-4_Vertical_Black,-32.0,-26.0,180.0,top
J3,679305124022,679305124022,6.0,-26.5,180.0,top
J4,Qwiic_Vertical,JST_SMD_1.0mm-4_Vertical_Black,18.0,-26.0,180.0,top
J5,M20-7830542,M20-7830542,-39.7825,15.25,0.0,top
J6,Qwiic_Vertical,JST_SMD_1.0mm-4_Vertical_Black,-46.0,24.0,180.0,top
J7,5013310607,5013310607,-10.0,31.5398,0.0,top
J8,Qwiic_Vertical,JST_SMD_1.0mm-4_Vertical_Black,-4.0,-9.0,180.0,top
J9,Qwiic_Vertical,JST_SMD_1.0mm-4_Vertical_Black,26.0,24.0,180.0,top
J11,10132328-10011LF,10132328-10011LF,-10.0,-0.0,0.0,bottom
JP1,~,Jumper_2_NO,-22.0,-17.0,0.0,top
JP2,~,Jumper_2_NO,-5.6136,-15.0,90.0,top
JP3,~,Jumper_2_NO,-2.0,-15.0,90.0,top
Q1,BSS138,SOT-363,-34.303333,-17.0,0.0,top
R1,10k,R_Array_Convex_4x0603,-39.326667,-17.0,0.0,top
R2,10k,R_0603_1608Metric,-30.0,-17.0,90.0,top
R3,10k,R_0603_1608Metric,18.1825,-15.0,90.0,top
R4,PT2512FK-070R1L,PT2512FK-070R1L,-12.0,-15.0,180.0,top
R5,10k,R_Array_Convex_4x0603,23.0,-15.0,0.0,top
R6,RC0603FR-075K1L,RC0603N_YAG-L,-16.0,-1.0,90.0,bottom
R7,RC0603FR-075K1L,RC0603N_YAG-L,-4.0,-1.0,270.0,bottom
R8,RC0603FR-07330RL,RC0603FR-07330RL,-5.0,10.265,90.0,top
S1,AB11AH-FC,AB11AHFC,7.46,44.63,180.0,top
U1,AP2112K-3.3,SOT-23-5,-45.0,-17.0,0.0,top
U2,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,-22.0,-27.0,0.0,top
U3,INA219BxDCN,SOT-23-8,8.6675,-15.075,0.0,top
