Designator,Quantity,MPN,manufacturer,Package/Footprint,Description,Procurement Type,Customer Note
"C2,C3,C4",3,CGA4J3X7S1A106M125AB,TDK,C_0805_2012Metric,10uF,,
"C6,C1,C8,C5",4,GX035C104MAT2-500,Kyocera,C_0603_1608Metric,0.1uF,,
C7,1,EEV107M010S9GAA,Kemet,EEV107M010S9GAA,EEV107M010S9GAA,,
D1,1,WS2812B,WORLDSEMI,WS2812_5050-4Pin,WS2812B_5050,,
IC1,1,,,tgs2611c00,TGS2611-C00,,
J1,1,7-534206-0,TE Connectivity (Tyco Electronics),PinSocket_2x20_P2.54mm_Vertical,GPIO,,
J3,1,679305124022,Würth Elektronik (Wuerth Elektronik),679305124022,679305124022,,
J5,1,M20-7830542,Harwin,M20-7830542,M20-7830542,,
"J6,J4,J9,J2",4,BM04B-SRSS-TB,Japan Solderless Terminals (JST),JST_1x04_P1.0mm_Vertical_SMD,Qwiic_Vertical,,
J7,1,5013310607,Molex,MOLEX_5013310607,5013310607,,
J8,1,BM04B-SRSS-TB,Japan Solderless Terminals (JST),JST_1x04_P1.0mm_Vertical_SMD,Qwiic_4pin_Vertical,,
J10,1,640456-3,TE Connectivity (Tyco Electronics),PinHeader_1x3_P2.54_Drill1.1mm,640456-3,,
J11,1,10132328-10011LF,Amphenol,AMPHENOL_10132328-10011LF,10132328-10011LF,,
"JP4,JP2,JP1",3,STM32G031C8U6,STMicroelectronics,Jumper_2_NO,~,,
"Q2,Q4,Q1",3,BSS138,HUASHUO,SOT-363,BSS138,,
Q3,1,SOT23-3EV-VREG,Microchip Technology,SOT23-3,MOT2301B2,,
R2,1,MCR03EZPJ104,Rohm,R_0603_1608Metric,100k,,
R3,1,AC0603FR-071KL,Yageo,R_0603_1608Metric,1k,,
"R5,R13,R1",3,RT0603BRD0710KL,Yageo,R_Array_Convex_4x0603,10k,,
R6,1,RC0603FR-075K1L,Yageo,RESC1607X60N,RC0603FR-075K1L,,
R7,1,RK73G1JTTD5101F,KOA,R_0603_1608Metric,5.1k,,
R8,1,RC0603FR-07330RL,Yageo,RESC1607X60N,RC0603FR-07330RL,,
"R17,R19,R14,R10,R9,R15,R21,R20,R22",9,RT0603BRD0710KL,Yageo,R_0603_1608Metric,10k,,
S2,1,EG1224,E-Switch,SW_EG1224,EG1224,,
U1,1,AP2112K-3.3TRG1,Diodes,SOT-23-5,AP2112K-3.3,,
U3,1,ADS1115IDGST,Texas Instruments (TI),DGS0010A_New,ADS1115IDGST,,
"U5,U2",2,BME280,Bosch,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,BME280,,
